parameter,value,seed,pearson,nrmse,classification_accuracy,accuracy_drop,regime_crossing_rate
k,1.0,44,0.9985968858004116,0.05297384453159662,0.7954577917440365,0.001999714326524793,0.023142857142857142
k,2.0,44,0.9970834722829088,0.07637475102938042,0.7934580774175117,0.003999428653049586,0.023142857142857142
k,5.0,44,0.9915430320897581,0.1300556374479746,0.7874589344379375,0.009998571632623854,0.023142857142857142
k,10.0,44,0.9794317935082167,0.2028281214144388,0.7777460362805314,0.019711469790029912,0.023142857142857142
k,20.0,44,0.946040342845711,0.32854156862545547,0.7581774032281102,0.03928010284245109,0.022714285714285715
k,50.0,44,0.8039133699307852,0.6263175453095687,0.6916154835023568,0.10584202256820452,0.023142857142857142
alpha,0.0,45,0.9999999999999999,0.0,0.7184687901728325,0.0,0.02942857142857143
alpha,0.05,45,0.9987888060361573,0.04932603743965716,0.7116126267676046,0.0068561634052278775,0.07971428571428571
alpha,0.1,45,0.9949094846445634,0.10113339416799094,0.6991858305956292,0.019282959577203274,0.15228571428571427
alpha,0.2,45,0.9807316266953218,0.19913920093770843,0.6624767890301385,0.05599200114269398,0.24814285714285714
alpha,0.4,45,0.9288035474656231,0.3987598193379268,0.6211969718611627,0.09727181831166976,0.37142857142857144
alpha,0.8,45,0.7746485670743781,0.8070085259198481,0.5533495214969291,0.16511926867590343,0.4594285714285714
alpha,1.6,45,0.5389578402088065,1.6133493184301495,0.5027853163833738,0.21568347378945874,0.5188571428571429
k,0.0,45,0.9999999999999999,0.0,0.7184687901728325,0.0,0.02942857142857143
k,1.0,45,0.9986764022907985,0.05144970128190955,0.7156120554206542,0.0028567347521782915,0.02942857142857143
k,2.0,45,0.9971364376630708,0.0756740946090394,0.7130409941436937,0.005427796029138787,0.02942857142857143
k,5.0,45,0.9911866358317102,0.1327481037450252,0.7053278103128124,0.013140979860020052,0.02942857142857143
k,10.0,45,0.9775905310436752,0.21164520815613988,0.6930438508784459,0.025424939294386606,0.02942857142857143
k,20.0,45,0.9421622909771663,0.339919670817251,0.6681902585344951,0.0502785316383374,0.02942857142857143
k,50.0,45,0.7904740445289908,0.6466872149322987,0.6020568490215683,0.11641194115126419,0.029142857142857144
alpha,0.0,46,0.9999999999999997,0.0,0.5683473789458648,0.0,0.01757142857142857
alpha,0.05,46,0.9987330204774811,0.050430069858655696,0.5650621339808599,0.00328524496500493,0.05985714285714286
alpha,0.1,46,0.9951098656589203,0.09909548408229026,0.5620625624910727,0.006284816454792175,0.108
alpha,0.2,46,0.9811042455397708,0.19865851489212968,0.5710612769604342,-0.002713898014569338,0.18414285714285714
alpha,0.4,46,0.9294173772078026,0.3971965643959613,0.5712041136980431,-0.0028567347521782915,0.2517142857142857
alpha,0.8,46,0.7795596412842137,0.8044726824582141,0.5712041136980431,-0.0028567347521782915,0.31685714285714284
alpha,1.6,46,0.5348516416228543,1.5862781083881499,0.5263533780888444,0.04199400085702043,0.41714285714285715
k,0.0,46,0.9999999999999997,0.0,0.5683473789458648,0.0,0.01757142857142857
k,1.0,46,0.9984652547872869,0.05540643085669066,0.5672046850449936,0.0011426939008712944,0.01757142857142857
k,2.0,46,0.9966803120141101,0.08149233332669648,0.5660619911441223,0.002285387801742589,0.01757142857142857
k,5.0,46,0.9898729736522901,0.142360700669799,0.5630624196543351,0.005284959291529723,0.01757142857142857
k,10.0,46,0.9741925728716391,0.2273176989323786,0.558348807313241,0.009998571632623854,0.01757142857142857
k,20.0,46,0.929018992585302,0.3771628824101118,0.5432081131266961,0.0251392658191687,0.01814285714285714
k,50.0,46,0.729433161927333,0.7372999394869284,0.48564490787030423,0.08270247107556061,0.01842857142857143
